    1 1.469	 1.499	 1.457	 1.606	 3.374	 1.177	 1.205	 1.013	 1.461	 1.391	 1.730	 1.765	 63.665	
    2 1.469	 1.499	 1.457	 1.606	 3.374	 1.177	 1.205	 1.013	 1.461	 1.391	 1.730	 1.765	 63.665	
    3 1.469	 1.499	 1.457	 1.606	 3.374	 1.177	 1.205	 1.013	 1.461	 1.391	 1.730	 1.765	 63.665	
    4 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
    5 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
    6 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
    7 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
    8 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
    9 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
   10 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
   11 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
   12 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
   13 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
   14 1.539	 1.484	 1.685	 1.639	 3.500	 1.092	 1.186	 1.038	 1.321	 1.384	 1.719	 1.671	 57.748	
   15 1.568	 1.500	 1.626	 1.845	 3.039	 1.213	 1.299	 1.098	 1.142	 1.540	 1.576	 0.847	 85.885	
   16 1.628	 1.498	 1.535	 1.818	 3.151	 1.315	 1.277	 1.166	 1.217	 1.634	 1.552	 0.985	 86.508	
   17 1.628	 1.498	 1.535	 1.818	 3.151	 1.315	 1.277	 1.166	 1.217	 1.634	 1.552	 0.985	 86.508	
   18 1.628	 1.498	 1.535	 1.818	 3.151	 1.315	 1.277	 1.166	 1.217	 1.634	 1.552	 0.985	 86.508	
   19 1.628	 1.498	 1.535	 1.818	 3.151	 1.315	 1.277	 1.166	 1.217	 1.634	 1.552	 0.985	 86.508	
   20 1.628	 1.498	 1.535	 1.818	 3.151	 1.315	 1.277	 1.166	 1.217	 1.634	 1.552	 0.985	 86.508	
   21 1.548	 1.580	 1.523	 1.816	 3.186	 1.229	 1.338	 1.113	 1.290	 1.549	 1.616	 0.968	 84.374	
   22 1.398	 1.330	 1.457	 1.884	 3.380	 1.272	 1.117	 1.021	 1.447	 1.321	 1.728	 1.834	 68.265	
   23 1.440	 1.277	 1.587	 1.864	 3.451	 1.182	 1.088	 0.998	 1.464	 1.339	 1.640	 1.802	 65.752	
   24 1.604	 1.571	 1.350	 1.812	 3.128	 1.094	 1.356	 1.213	 1.291	 1.464	 1.687	 1.019	 84.139	
   25 1.431	 1.503	 1.263	 1.750	 3.025	 1.152	 1.162	 0.980	 1.757	 1.310	 1.673	 1.821	 70.928	
   26 1.659	 1.673	 1.461	 1.820	 3.328	 1.082	 1.362	 1.225	 1.444	 1.440	 1.564	 1.164	 82.528	
   27 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   28 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   29 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   30 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   31 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   32 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   33 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   34 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   35 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   36 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   37 1.336	 1.418	 1.426	 2.441	 3.170	 1.364	 1.089	 1.252	 1.225	 1.401	 1.812	 1.260	 85.755	
   38 1.521	 1.730	 1.500	 1.869	 3.576	 1.228	 1.162	 1.212	 1.604	 1.281	 1.663	 1.884	 65.258	
   39 1.521	 1.730	 1.500	 1.869	 3.576	 1.228	 1.162	 1.212	 1.604	 1.281	 1.663	 1.884	 65.258	
   40 1.521	 1.730	 1.500	 1.869	 3.576	 1.228	 1.162	 1.212	 1.604	 1.281	 1.663	 1.884	 65.258	
   41 1.521	 1.730	 1.500	 1.869	 3.576	 1.228	 1.162	 1.212	 1.604	 1.281	 1.663	 1.884	 65.258	
   42 1.521	 1.730	 1.500	 1.869	 3.576	 1.228	 1.162	 1.212	 1.604	 1.281	 1.663	 1.884	 65.258	
   43 1.444	 1.591	 1.611	 2.399	 3.618	 1.304	 1.141	 1.272	 1.352	 1.357	 1.725	 1.424	 74.902	
   44 1.444	 1.591	 1.611	 2.399	 3.618	 1.304	 1.141	 1.272	 1.352	 1.357	 1.725	 1.424	 74.902	
   45 1.444	 1.591	 1.611	 2.399	 3.618	 1.304	 1.141	 1.272	 1.352	 1.357	 1.725	 1.424	 74.902	
   46 1.444	 1.591	 1.611	 2.399	 3.618	 1.304	 1.141	 1.272	 1.352	 1.357	 1.725	 1.424	 74.902	
   47 1.444	 1.591	 1.611	 2.399	 3.618	 1.304	 1.141	 1.272	 1.352	 1.357	 1.725	 1.424	 74.902	
   48 1.507	 1.634	 1.580	 2.316	 3.623	 1.229	 1.133	 1.278	 1.551	 1.278	 1.679	 1.572	 70.338	
   49 1.507	 1.634	 1.580	 2.316	 3.623	 1.229	 1.133	 1.278	 1.551	 1.278	 1.679	 1.572	 70.338	
   50 1.507	 1.634	 1.580	 2.316	 3.623	 1.229	 1.133	 1.278	 1.551	 1.278	 1.679	 1.572	 70.338	
   51 1.367	 1.415	 1.507	 2.652	 3.425	 1.467	 1.044	 1.340	 1.280	 1.415	 1.827	 1.430	 84.463	
   52 1.367	 1.415	 1.507	 2.652	 3.425	 1.467	 1.044	 1.340	 1.280	 1.415	 1.827	 1.430	 84.463	
   53 1.367	 1.415	 1.507	 2.652	 3.425	 1.467	 1.044	 1.340	 1.280	 1.415	 1.827	 1.430	 84.463	
   54 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   55 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   56 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   57 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   58 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   59 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   60 1.609	 1.478	 1.517	 2.262	 3.561	 1.347	 1.127	 1.278	 1.533	 1.466	 1.625	 1.533	 80.026	
   61 1.518	 1.458	 1.704	 2.621	 3.484	 1.247	 1.207	 1.284	 1.473	 1.385	 1.619	 1.211	 92.629	
   62 1.518	 1.458	 1.704	 2.621	 3.484	 1.247	 1.207	 1.284	 1.473	 1.385	 1.619	 1.211	 92.629	
   63 1.518	 1.458	 1.704	 2.621	 3.484	 1.247	 1.207	 1.284	 1.473	 1.385	 1.619	 1.211	 92.629	
